Date,Close_honda,Close_nisan,Close_tesla,Close_ford
2018-03-06,34.94,21.11,21.88,10.63
2018-03-07,34.75,21.36,22.16,10.63
2018-03-08,34.94,21.16,21.94,10.61
2018-03-09,34.66,21.11,21.81,10.73
2018-03-12,35.06,21.2,23.03,10.81
2018-03-13,34.62,21.05,22.8,10.78
2018-03-14,34.6,21.31,21.78,11.02
2018-03-15,34.72,21.17,21.7,11.07
2018-03-16,34.75,21.25,21.42,11.15
2018-03-19,34.12,20.88,20.9,11.01
2018-03-20,34.4,21.16,20.7,10.99
2018-03-21,34.5,21.2,21.11,11.1
2018-03-22,33.94,20.81,20.61,10.75
2018-03-23,32.9,20.89,20.11,10.56
2018-03-26,33.62,21.1,20.28,10.83
2018-03-27,33.72,21.17,18.61,10.83
2018-03-28,34.4,20.81,17.19,10.86
2018-03-29,34.72,20.69,17.73,11.08
2018-04-02,34.0,20.55,16.83,10.86
2018-04-03,34.47,20.66,17.83,11.15
2018-04-04,34.66,20.84,19.12,11.33
2018-04-05,34.88,20.8,20.38,11.35
2018-04-06,34.22,20.75,19.95,11.18
2018-04-09,34.3,20.88,19.31,11.25
2018-04-10,35.38,20.98,20.31,11.45
2018-04-11,35.2,20.9,20.06,11.43
2018-04-12,34.94,20.98,19.61,11.31
2018-04-13,34.97,20.84,20.02,11.28
2018-04-16,35.1,20.95,19.4,11.38
2018-04-17,34.97,21.23,19.17,11.38
2018-04-18,34.62,21.19,19.56,11.33
2018-04-19,34.22,21.2,20.0,10.96
2018-04-20,34.2,21.12,19.34,10.82
2018-04-23,34.16,21.08,18.89,11.04
2018-04-24,34.16,21.06,18.89,10.96
2018-04-25,34.6,21.2,18.72,11.11
2018-04-26,34.75,21.23,19.03,11.43
2018-04-27,34.22,21.16,19.61,11.49
2018-04-30,34.38,21.05,19.6,11.24
2018-05-01,33.9,20.83,20.0,11.26
2018-05-02,33.2,20.19,20.08,11.21
2018-05-03,33.25,20.47,18.97,11.2
2018-05-04,33.47,20.72,19.61,11.36
2018-05-07,33.22,20.62,20.19,11.34
2018-05-08,33.12,20.39,20.12,11.27
2018-05-09,32.62,20.05,20.45,11.06
2018-05-10,32.8,20.25,20.33,11.21
2018-05-11,33.1,20.31,20.08,11.19
2018-05-14,33.3,20.28,19.47,11.18
2018-05-15,32.84,20.44,18.95,11.22
2018-05-16,33.16,20.66,19.1,11.4
2018-05-17,33.1,20.69,18.97,11.46
2018-05-18,32.97,20.69,18.45,11.33
2018-05-21,33.25,20.69,18.97,11.51
